title,genres,rating,imdbId
Sudden Death (1995),Action,3 ,114576
Fair Game (1995),Action,2 ,113010
Under Siege 2: Dark Territory (1995),Action,3 ,114781
"Hunted, The (1995)",Action,3 ,113360
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action,3 ,112536
Double Team (1997),Action,4 ,119013
Steel (1997),Action,4 ,120207
Knock Off (1998),Action,4 ,120724
Avalanche (1978),Action,3 ,77189
Aces: Iron Eagle III (1992),Action,2 ,103617
"Omega Code, The (1999)",Action,4 ,203408
Minnie and Moskowitz (1971),Action,4 ,67433
Thunderbolt and Lightfoot (1974),Action,3 ,72288
Kiss of the Dragon (2001),Action,4 ,271027
Best of the Best (1989),Action,4 ,96913
Kickboxer (1989),Action,2 ,97659
No Holds Barred (1989),Action,3 ,97987
"Punisher, The (1989)",Action,3 ,98141
"Last Castle, The (2001)",Action,4 ,272020
"Gauntlet, The (1977)",Action,1 ,76070
"Big Bird Cage, The (1972)",Action,4 ,68273
"Big Doll House, The (1971)",Action,4 ,66830
"Octagon, The (1980)",Action,2 ,81259
Rapid Fire (1992),Action,4 ,105219
Attila (Attila Flagello di Dio) (1982),Action,1 ,80393
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),Action,4 ,84266
Live Wire (1992),Action,4 ,104743
Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993),Action,4 ,108592
Only the Strong (1993),Action,3 ,107750
Raw Deal (1986),Action,4 ,91828
Walking Tall (2004),Action,4 ,351977
"Delta Force, The (1986)",Action,3 ,90927
Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action,2 ,72913
Five Deadly Venoms (1978),Action,4 ,77559
"Tournament, The (2009)",Action,4 ,471041
"Peacekeeper, The (1997)",Action,4 ,119872
Five Element Ninjas (1982),Action,4 ,84921
Father of the Bride Part II (1995),Comedy,3 ,113041
Four Rooms (1995),Comedy,4 ,113101
Ace Ventura: When Nature Calls (1995),Comedy,3 ,112281
Friday (1995),Comedy,4 ,113118
Black Sheep (1996),Comedy,4 ,115697
Happy Gilmore (1996),Comedy,3 ,116483
"Steal Big, Steal Little (1995)",Comedy,3 ,114536
"Birdcage, The (1996)",Comedy,3 ,115685
"Brothers McMullen, The (1995)",Comedy,3 ,112585
Jury Duty (1995),Comedy,3 ,113500
Living in Oblivion (1995),Comedy,2 ,113677
Party Girl (1995),Comedy,3 ,114095
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3 ,114682
Billy Madison (1995),Comedy,3 ,112508
Clerks (1994),Comedy,2 ,109445
Destiny Turns on the Radio (1995),Comedy,3 ,112854
Exit to Eden (1994),Comedy,3 ,109758
Houseguest (1994),Comedy,4 ,110066
"Jerky Boys, The (1995)",Comedy,3 ,110189
Major Payne (1995),Comedy,3 ,110443
Man of the House (1995),Comedy,3 ,113755
Mixed Nuts (1994),Comedy,4 ,110538
Miami Rhapsody (1995),Comedy,4 ,113808
Ready to Wear (Pret-A-Porter) (1994),Comedy,3 ,110907
Rent-a-Kid (1995),Comedy,3 ,114268
Stuart Saves His Family (1995),Comedy,4 ,114571
National Lampoon's Senior Trip (1995),Comedy,5 ,113936
Tommy Boy (1995),Comedy,3 ,114694
Muriel's Wedding (1994),Comedy,4 ,110598
Ace Ventura: Pet Detective (1994),Comedy,3 ,109040
Bullets Over Broadway (1994),Comedy,4 ,109348
